issue_id,category,title,example_text,laws_sections,advice_text
LABOUR_NOTICE_PERIOD_UNPAID,LABOUR,Salary not paid for notice period,I am not getting salary for notice period,,"Document all incidents of discrimination at your workplace and file a formal complaint with HR. If the company does not act, escalate to the Labour Commissioner or local anti-discrimination authority with your evidence."
LABOUR_ANTI_DISCRIMINATION_VIOLATION,LABOUR,Company not following anti-discrimination policies,My company is not following anti-discrimination policies,,"Document all unsafe working conditions and send a written complaint to your employer. If forced to work in unsafe conditions, file a complaint with the Labour Commissioner and local health authority, attaching photos and witness statements."
LABOUR_UNSAFE_WORK_ENVIRONMENT,LABOUR,Forced to work in unsafe conditions,I am being forced to work in unsafe conditions,,"Document lack of proper toilet facilities at your workplace and send a written complaint to your employer. If not resolved, file a complaint with the Labour Commissioner and local health authority."
LABOUR_INADEQUATE_FACILITIES,LABOUR,Proper toilet facilities not provided,My employer is not providing proper toilet facilities,,"Track all instances where labour laws are not followed and send a written complaint to your employer. If ignored, file a complaint with the Labour Commissioner, attaching all supporting records."
LABOUR_LAW_VIOLATION,LABOUR,Labour laws not followed,My company is not following labour laws,,"Request your bonus payment in writing from your employer and keep proof of your employment and salary records. If denied, file a complaint with the Labour Commissioner and attach all supporting documents."
LABOUR_BONUS_DENIED,LABOUR,Bonus denied as per law,I am being denied bonus as per law,,"Document all work on weekends and request extra pay or compensatory leave in writing. If not paid, file a complaint with the Labour Commissioner and attach your work records and salary slips."
LABOUR_UNPAID_WEEKEND_WORK,LABOUR,Not paid for weekend work,My employer is not paying me for work done during weekends,,"Request permission to resign in writing from your employer and keep proof of all communication. If not allowed to resign freely, file a complaint with the Labour Commissioner and attach your employment records."
LABOUR_RESIGNATION_DENIED,LABOUR,Not allowed to resign freely,My company is not allowing me to resign freely,,"Request a written termination letter from your employer and keep proof of all communication. If not provided, file a complaint with the Labour Commissioner and attach your employment records."
LABOUR_NO_TERMINATION_LETTER,LABOUR,Termination letter not given,My employer is not giving me termination letter,,"Formally request your termination letter in writing from your employer and keep a copy of your request. If your employer does not provide the letter, collect all employment records, salary slips, and any communication about your termination. File a complaint with the Labour Commissioner stating that you have been terminated without official documentation, and attach all supporting evidence. The termination letter is crucial for future job applications, legal claims, and access to benefits, so insist on receiving it through proper channels."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,s,,
