Text,Category ,Relevant Laws
I want to file for restitution of conjugal rights,FAMILY,"Hindu Marriage Act, 1955 (Section 9); Family Court Act, 1984"
I want to get legal separation without divorce,FAMILY,"Hindu Marriage Act, 1955 (Section 10); Civil Remedies / Family Court"
My spouse is not allowing me to see my children,FAMILY,"Guardians and Wards Act, 1890; Family Court Act, 1984"
I want to change religion for marriage,FAMILY,Constitution Article 25 (Freedom of Religion); Civil Procedure Code / Personal Law Acts
My spouse is not paying expenses for children's education,FAMILY,Section 125 CrPC (Maintenance); Civil Remedies / Family Court
I am facing harassment for inter-caste marriage,FAMILY,"Protection of Civil Rights Act, 1955; IPC Section 506 (Criminal Intimidation)"
I want to get restraining order against family member,FAMILY,"Protection of Women from Domestic Violence Act, 2005; Civil Remedies / Family Court"
My spouse is not providing for household expenses,FAMILY,IPC Section 498A (Cruelty); Civil Remedies / Family Court
I want to file complaint for bigamy,FAMILY,IPC Section 494 (Bigamy); Criminal Procedure Code (Filing FIR)
I am being forced to marry under family pressure,FAMILY,"IPC Section 366B (Importation of minor girl for marriage); Prohibition of Child Marriage Act, 2006"
My spouse is not cooperating in adoption process,FAMILY,"Juvenile Justice (Care and Protection of Children) Act, 2015; Civil Remedies / Family Court"
I want to get legal guardianship for elderly parent,FAMILY,"Hindu Minority and Guardianship Act, 1956; Civil Remedies / High Court Guardianship"
My spouse is denying paternity of child,FAMILY,"Hindu Marriage Act, 1955; Guardians and Wards Act, 1890"
I want to challenge maintenance order,FAMILY,Section 125 CrPC; Civil Remedies / Family Court
My spouse is not giving consent for child's passport,FAMILY,"Passports Act, 1967; Guardians and Wards Act, 1890"
I want to file complaint for child abuse,FAMILY,"POCSO Act, 2012; IPC Sections 323/376"
My spouse is not supporting me financially,FAMILY,"Section 125 CrPC (Maintenance); Hindu Adoption and Maintenance Act, 1956"
I want to get protection from abusive spouse,FAMILY,"Protection of Women from Domestic Violence Act, 2005; IPC Section 498A (Cruelty)"
I want to file complaint for child neglect,FAMILY,"POCSO Act, 2012; Juvenile Justice (Care and Protection of Children) Act, 2015"
My spouse is threatening to take away children,FAMILY,"Guardians and Wards Act, 1890; IPC Section 506 (Criminal Intimidation)"
I want to get legal rights for stepchild,FAMILY,"Hindu Succession Act, 1956; Guardians and Wards Act, 1890"
My spouse is not providing medical expenses for child,FAMILY,Section 125 CrPC (Maintenance); Civil Remedies / Family Court
I bought a product online and it was defective,CONSUMER,"Consumer Protection Act, 2019"
The shopkeeper refused to give me a bill for my purchase,CONSUMER,"Consumer Protection Act, 2019; GST Act, 2017"
I am facing issues with poor service at a restaurant,CONSUMER,"Consumer Protection Act, 2019"
My warranty claim for a gadget was denied,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
I was charged extra for a service I did not use,CONSUMER,"Consumer Protection Act, 2019"
I received a fake product from an online seller,CONSUMER,"Consumer Protection Act, 2019; IT Act, 2000"
My complaint to customer care is not being resolved,CONSUMER,"Consumer Protection Act, 2019"
I was sold expired food items,CONSUMER,"Food Safety and Standards Act, 2006; Consumer Protection Act, 2019"
I want a refund for a cancelled order but the company is refusing,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
I am being harassed by telemarketing calls,CONSUMER,"Telecom Regulatory Authority of India (TRAI) Regulations; Consumer Protection Act, 2019"
I was promised a discount but charged full price,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My mobile service provider is not resolving network issues,CONSUMER,"Telecom Regulatory Authority of India (TRAI) Regulations; Consumer Protection Act, 2019"
I was cheated in a holiday package deal,CONSUMER,"Consumer Protection Act, 2019; Indian Contract Act, 1872"
My gym membership was cancelled without notice,CONSUMER,"Consumer Protection Act, 2019; Indian Contract Act, 1872"
My bank charged hidden fees on my account,CONSUMER,"Consumer Protection Act, 2019; Banking Regulation Act, 1949"
I was denied replacement for a faulty product,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
I am facing issues with my insurance claim,CONSUMER,"Insurance Act, 1938; Consumer Protection Act, 2019"
My flight was cancelled and I did not get a refund,CONSUMER,"Consumer Protection Act, 2019; Aircraft Act, 1934"
My builder is delaying possession of my flat,CONSUMER,"Real Estate (Regulation and Development) Act, 2016; Consumer Protection Act, 2019"
My broadband provider is not giving promised speed,CONSUMER,"Telecom Regulatory Authority of India (TRAI) Regulations; Consumer Protection Act, 2019"
I was overcharged for movie tickets,CONSUMER,"Consumer Protection Act, 2019; Cinematograph Act, 1952"
My car service centre did not fix the issue properly,CONSUMER,"Consumer Protection Act, 2019; Motor Vehicles Act, 1988"
I was given misleading information about a product,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My credit card was charged without my consent,CONSUMER,"Consumer Protection Act, 2019; Banking Regulation Act, 1949"
I am facing issues with my mutual fund investment,CONSUMER,"Securities and Exchange Board of India (SEBI) Regulations; Consumer Protection Act, 2019"
My online order was not delivered on time,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
I was denied warranty on my electronics purchase,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My hotel booking was cancelled without reason,CONSUMER,"Consumer Protection Act, 2019; Indian Contract Act, 1872"
My loan application was rejected without explanation,CONSUMER,"Consumer Protection Act, 2019; Banking Regulation Act, 1949"
I was sold a used product as new,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My service provider is not addressing my complaint,CONSUMER,"Consumer Protection Act, 2019"
My insurance company is delaying settlement,CONSUMER,"Insurance Act, 1938; Consumer Protection Act, 2019"
I was charged cancellation fees unfairly,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My cab driver overcharged me,CONSUMER,"Motor Vehicles Act, 1988; Consumer Protection Act, 2019"
My real estate agent misled me about property details,CONSUMER,"Real Estate (Regulation and Development) Act, 2016; Consumer Protection Act, 2019"
I was denied refund for a defective item,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My travel agency is not responding to my queries,CONSUMER,"Consumer Protection Act, 2019; Indian Contract Act, 1872"
My mobile recharge did not go through,CONSUMER,"Telecom Regulatory Authority of India (TRAI) Regulations; Consumer Protection Act, 2019"
I was promised cashback but did not receive it,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My subscription service is not working as promised,CONSUMER,"Consumer Protection Act, 2019; Indian Contract Act, 1872"
I was delivered wrong product,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My online food order was not fulfilled,CONSUMER,"Consumer Protection Act, 2019; Food Safety and Standards Act, 2006"
My retailer is not accepting returned goods,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My bank is not reversing a disputed transaction,CONSUMER,"Consumer Protection Act, 2019; Banking Regulation Act, 1949"
I was denied compensation for lost baggage,CONSUMER,"Consumer Protection Act, 2019; Aircraft Act, 1934"
My cable operator is not providing channels as per plan,CONSUMER,"Telecom Regulatory Authority of India (TRAI) Regulations; Consumer Protection Act, 2019"
My online payment failed but money was deducted,CONSUMER,"Consumer Protection Act, 2019; IT Act, 2000"
My shopping app is not resolving my complaint,CONSUMER,"Consumer Protection Act, 2019; IT Act, 2000"
My warranty service is being delayed,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My telecom operator is not porting my number,CONSUMER,"Telecom Regulatory Authority of India (TRAI) Regulations; Consumer Protection Act, 2019"
My online seller is not providing invoice,CONSUMER,"Consumer Protection Act, 2019; GST Act, 2017"
My product was damaged in transit,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My e-commerce refund is taking too long,CONSUMER,"Consumer Protection Act, 2019; Sale of Goods Act, 1930"
My social media account was hacked,CYBER,"Information Technology Act, 2000; IPC Sections 66, 66C"
I am receiving threatening messages online,CYBER,"IPC Section 507; Information Technology Act, 2000"
I am a victim of online financial fraud,CYBER,"IPC Sections 420, 66C; Information Technology Act, 2000"
My personal photos were leaked without consent,CYBER,"IPC Sections 66E, 67; Information Technology Act, 2000"
I am facing cyberbullying on social media,CYBER,"IPC Section 509; Information Technology Act, 2000"
My email account was compromised,CYBER,"IPC Sections 66C, 66D; Information Technology Act, 2000"
I am getting spam emails and phishing attempts,CYBER,"Information Technology Act, 2000; IPC Section 468"
I was cheated on an online shopping website,CYBER,"IPC Sections 420, 66D; Information Technology Act, 2000"
My identity was stolen and misused online,CYBER,"IPC Sections 66C, 66D; Information Technology Act, 2000"
I am being harassed by unknown numbers on WhatsApp,CYBER,"IPC Section 503; Information Technology Act, 2000"
My online payment was fraudulently deducted,CYBER,"IPC Sections 420, 66C; Information Technology Act, 2000"
I found my fake profile on a dating app,CYBER,"IPC Section 66E; Information Technology Act, 2000"
My computer was infected with ransomware,CYBER,"IPC Section 66; Information Technology Act, 2000"
I received a call asking for my OTP,CYBER,"IPC Sections 66C, 66D; Information Technology Act, 2000"
I lost money in an online investment scam,CYBER,"IPC Sections 420, 66C; Information Technology Act, 2000"
My company data was leaked by an employee,CYBER,"IPC Sections 405, 66; Information Technology Act, 2000"
I was blackmailed with morphed images,CYBER,"IPC Sections 503, 507; Information Technology Act, 2000"
I was a victim of online lottery fraud,CYBER,"IPC Sections 420, 66C; Information Technology Act, 2000"
I am being stalked through social media,CYBER,"IPC Sections 354D; Information Technology Act, 2000"
I received abusive comments on my YouTube channel,CYBER,"IPC Sections 499, 500; Information Technology Act, 2000"
I am being doxxed on the internet,CYBER,"IPC Sections 507, 66E; Information Technology Act, 2000"
My credit card information was stolen,CYBER,"IPC Sections 420, 66C; Information Technology Act, 2000"
I was tricked into sharing my personal details,CYBER,"IPC Sections 66C, 66D; Information Technology Act, 2000"
My online exam account was hacked,CYBER,"IPC Sections 66C, 66D; Information Technology Act, 2000"
I am being targeted by fake news online,CYBER,"IPC Sections 153A, 505; Information Technology Act, 2000"
I received fraudulent calls posing as bank officials,CYBER,"IPC Sections 420, 66D; Information Technology Act, 2000"
I am getting unsolicited loan offers online,CYBER,"IPC Sections 420; Information Technology Act, 2000"
My child is being cyberbullied,CYBER,"IPC Sections 354D, 509; Information Technology Act, 2000"
I was defamed in an online forum,CYBER,"IPC Sections 499, 500; Information Technology Act, 2000"
My digital signature was misused,CYBER,"IPC Sections 66C; Information Technology Act, 2000"
I was scammed via a fake job portal,CYBER,"IPC Sections 420, 66D; Information Technology Act, 2000"
My online gaming account was hacked,CYBER,"IPC Sections 66C, 66D; Information Technology Act, 2000"
I am being harassed by fake emails,CYBER,"IPC Sections 66D, 507; Information Technology Act, 2000"
My website was hacked and defaced,CYBER,"IPC Sections 66; Information Technology Act, 2000"
My online wallet was emptied by fraudsters,CYBER,"IPC Sections 420, 66C; Information Technology Act, 2000"
I received fake tech support calls,CYBER,"IPC Sections 420, 66D; Information Technology Act, 2000"
I am being extorted online,CYBER,"IPC Sections 384, 386, 507; Information Technology Act, 2000"
My Aadhaar details were leaked online,CYBER,"Aadhaar Act, 2016; Information Technology Act, 2000"
I am being harassed by fake customer care numbers,CYBER,"IPC Sections 420, 507; Information Technology Act, 2000"
My online photos were used without permission,CYBER,"IPC Sections 66E, 67; Information Technology Act, 2000"
I was tricked into installing spyware,CYBER,"IPC Sections 66; Information Technology Act, 2000"
My OTP was stolen and used for fraud,CYBER,"IPC Sections 66C, 66D; Information Technology Act, 2000"
My company website faced a DDoS attack,CYBER,"IPC Sections 43, 66; Information Technology Act, 2000"
My social media posts were plagiarized,CYBER,"IPC Sections 63, 66; Copyright Act, 1957; Information Technology Act, 2000"
I am being impersonated online,CYBER,"IPC Sections 66D, 463; Information Technology Act, 2000"
My online business account was compromised,CYBER,"IPC Sections 66C, 66D; Information Technology Act, 2000"
My online reputation is being damaged,CYBER,"IPC Sections 499, 500; Information Technology Act, 2000"
I am getting threats over email,CYBER,"IPC Sections 503, 507; Information Technology Act, 2000"
My privacy was breached by an app,CYBER,"IPC Sections 43, 66E; Information Technology Act, 2000"
My property papers are missing,PROPERTY,"Transfer of Property Act, 1882; Registration Act, 1908"
I have a dispute over ancestral property,PROPERTY,"Hindu Succession Act, 1956; Transfer of Property Act, 1882"
My tenant is not paying rent,PROPERTY,"Rent Control Act, 1948; Indian Contract Act, 1872"
I want to evict my tenant,PROPERTY,"Rent Control Act, 1948; Transfer of Property Act, 1882"
I have a boundary dispute with my neighbour,PROPERTY,"Transfer of Property Act, 1882; Civil Procedure Code, 1908"
I want to transfer property ownership,PROPERTY,"Transfer of Property Act, 1882; Registration Act, 1908"
I want to register my property,PROPERTY,"Registration Act, 1908"
My property is encroached,PROPERTY,"Transfer of Property Act, 1882; Civil Procedure Code, 1908"
I have a dispute with builder over possession,PROPERTY,"Indian Contract Act, 1872; Real Estate (Regulation and Development) Act, 2016"
My property is under illegal occupation,PROPERTY,"Transfer of Property Act, 1882; Civil Procedure Code, 1908"
I want to claim my share in family property,PROPERTY,"Hindu Succession Act, 1956; Indian Succession Act, 1925"
My property is mortgaged,PROPERTY,"Transfer of Property Act, 1882; SARFAESI Act, 2002"
I want to partition joint property,PROPERTY,"Hindu Succession Act, 1956; Transfer of Property Act, 1882"
I want to check property title,PROPERTY,"Transfer of Property Act, 1882; Registration Act, 1908"
My property is acquired by government,PROPERTY,"Land Acquisition Act, 2013"
I have a dispute over property inheritance,PROPERTY,"Hindu Succession Act, 1956; Indian Succession Act, 1925"
My property tax is not updated,PROPERTY,Local Municipal Acts; Property Tax Act
I want to change property mutation,PROPERTY,"Registration Act, 1908; Local Municipal Acts"
My property is part of redevelopment project,PROPERTY,"Real Estate (Regulation and Development) Act, 2016"
My lease agreement is not being honoured,PROPERTY,"Transfer of Property Act, 1882; Indian Contract Act, 1872"
I want to sell my property,PROPERTY,"Transfer of Property Act, 1882; Registration Act, 1908"
I want to buy a property,PROPERTY,"Transfer of Property Act, 1882; Registration Act, 1908"
My property registration is delayed,PROPERTY,"Registration Act, 1908"
I have a dispute over property boundary,PROPERTY,"Transfer of Property Act, 1882; Civil Procedure Code, 1908"
My property is sealed by authorities,PROPERTY,"Local Municipal Acts; Urban Land Ceiling and Regulation Act, 1976"
I want to update property records,PROPERTY,"Registration Act, 1908; Local Municipal Acts"
My property is under litigation,PROPERTY,"Civil Procedure Code, 1908; Transfer of Property Act, 1882"
My property was allotted by government,PROPERTY,"Government Allotment Rules; Registration Act, 1908"
I want to convert agricultural land,PROPERTY,Land Conversion Rules; State Land Revenue Acts
I want to get NOC for property,PROPERTY,"Local Municipal Acts; Registration Act, 1908"
I want to make a will for my property,PROPERTY,"Indian Succession Act, 1925"
My property is attached by bank,PROPERTY,"SARFAESI Act, 2002; Civil Procedure Code, 1908"
My property is in unauthorized colony,PROPERTY,"Urban Land (Ceiling and Regulation) Act, 1976; Local Municipal Acts"
I want to regularize my property,PROPERTY,"Local Municipal Acts; Real Estate (Regulation and Development) Act, 2016"
My property survey is incorrect,PROPERTY,Land Survey Act; Local Municipal Acts
I want to cancel property deal,PROPERTY,"Indian Contract Act, 1872; Transfer of Property Act, 1882"
I have a dispute with society over property,PROPERTY,"Societies Registration Act, 1860; Transfer of Property Act, 1882"
My property is under dispute with siblings,PROPERTY,"Hindu Succession Act, 1956; Civil Procedure Code, 1908"
I want to lease my property,PROPERTY,"Transfer of Property Act, 1882; Indian Contract Act, 1872"
My property is under construction,PROPERTY,"Real Estate (Regulation and Development) Act, 2016; Building Bye-laws"
My property is affected by RERA,PROPERTY,"Real Estate (Regulation and Development) Act, 2016"
My property is part of land pooling,PROPERTY,Land Pooling Policy; Local Municipal Acts
I want to get property clearance certificate,PROPERTY,"Local Municipal Acts; Registration Act, 1908"
My property was damaged by builder,PROPERTY,"Real Estate (Regulation and Development) Act, 2016; Indian Contract Act, 1872"
I want to update property map,PROPERTY,Local Municipal Acts; Land Survey Act
My property is being acquired for road,PROPERTY,"Land Acquisition Act, 2013"
My property is subject to land ceiling,PROPERTY,"Urban Land (Ceiling and Regulation) Act, 1976"
I want to file property FIR,PROPERTY,"Indian Penal Code, 1860; Criminal Procedure Code, 1973"
My property is under forest area,PROPERTY,"Forest Conservation Act, 1980; Land Acquisition Act, 2013"
My property is in flood zone,PROPERTY,"Disaster Management Act, 2005; Local Municipal Acts"
My employer is not honouring the contract,CONTRACT,"Industrial Disputes Act, 1947, Indian Contract Act, 1872"
I want to draft an employment contract,CONTRACT,"Indian Contract Act, 1872, Shops and Establishments Act (State-specific)"
I have a dispute in service agreement,CONTRACT,"Industrial Disputes Act, 1947, Indian Contract Act, 1872"
I want to terminate my contract,CONTRACT,"Industrial Disputes Act, 1947, Indian Contract Act, 1872"
My contract was breached,CONTRACT,"Indian Contract Act, 1872"
I want to enforce a contract,CONTRACT,"Indian Contract Act, 1872"
I have a dispute in partnership agreement,CONTRACT,"Indian Partnership Act, 1932, Indian Contract Act, 1872"
I want to check contract validity,CONTRACT,"Indian Contract Act, 1872"
My contract terms are not clear,CONTRACT,"Indian Contract Act, 1872"
I want to renegotiate contract terms,CONTRACT,"Indian Contract Act, 1872"
I want to claim damages for contract breach,CONTRACT,"Indian Contract Act, 1872, Civil Procedure Code, 1908"
My contract is being terminated without cause,CONTRACT,"Industrial Disputes Act, 1947, Indian Contract Act, 1872"
I want to create a rental agreement,CONTRACT,"Transfer of Property Act, 1882, Indian Contract Act, 1872"
I want to register my contract,CONTRACT,"Registration Act, 1908, Indian Contract Act, 1872"
My contract is not being renewed,CONTRACT,"Industrial Disputes Act, 1947, Indian Contract Act, 1872"
I want to cancel a service contract,CONTRACT,"Indian Contract Act, 1872"
My contract has a non-compete clause,CONTRACT,"Indian Contract Act, 1872, Trade Marks Act, 1999"
I have a dispute in franchise agreement,CONTRACT,"Indian Contract Act, 1872, Competition Act, 2002"
I want to modify contract terms,CONTRACT,"Indian Contract Act, 1872"
My contract was signed under duress,CONTRACT,"Indian Contract Act, 1872, Specific Relief Act, 1963"
I want to assign contract rights,CONTRACT,"Indian Contract Act, 1872, Transfer of Property Act, 1882"
My contract is not stamped,CONTRACT,"Indian Stamp Act, 1899, Indian Contract Act, 1872"
I want to resolve contract dispute,CONTRACT,"Indian Contract Act, 1872, Arbitration and Conciliation Act, 1996"
My contract is not signed by all parties,CONTRACT,"Indian Contract Act, 1872"
I want to enforce indemnity clause,CONTRACT,"Indian Contract Act, 1872"
My contract is in foreign jurisdiction,CONTRACT,"Indian Contract Act, 1872, Civil Procedure Code, 1908"
I want to get contract reviewed,CONTRACT,"Indian Contract Act, 1872"
My contract is oral,CONTRACT,"Indian Contract Act, 1872"
I want to get contract notarized,CONTRACT,"Notaries Act, 1952, Indian Contract Act, 1872"
My contract is being misinterpreted,CONTRACT,"Indian Contract Act, 1872"
I want to execute contract online,CONTRACT,"Information Technology Act, 2000, Indian Contract Act, 1872"
My contract is not registered,CONTRACT,"Registration Act, 1908, Indian Contract Act, 1872"
I want to get contract translated,CONTRACT,"Indian Contract Act, 1872, Notaries Act, 1952"
My contract is being challenged,CONTRACT,"Indian Contract Act, 1872, Civil Procedure Code, 1908"
I want to include arbitration clause,CONTRACT,"Arbitration and Conciliation Act, 1996, Indian Contract Act, 1872"
My contract is with government,CONTRACT,"Government Contracts Rules, Indian Contract Act, 1872"
I want to get contract attested,CONTRACT,"Indian Contract Act, 1872, Notaries Act, 1952"
My contract is for supply of goods,CONTRACT,"Sale of Goods Act, 1930, Indian Contract Act, 1872"
I want to create a consultancy agreement,CONTRACT,"Indian Contract Act, 1872, Companies Act, 2013"
My contract is being delayed,CONTRACT,"Indian Contract Act, 1872, Civil Procedure Code, 1908"
My contract has penalty clause,CONTRACT,"Indian Contract Act, 1872"
My contract is for lease,CONTRACT,"Transfer of Property Act, 1882, Indian Contract Act, 1872"
I want to create joint venture contract,CONTRACT,"Indian Contract Act, 1872, Companies Act, 2013"
My contract is for sale of property,CONTRACT,"Transfer of Property Act, 1882, Indian Contract Act, 1872"
I want to get contract certified,CONTRACT,"Indian Contract Act, 1872, Notaries Act, 1952"
My contract is for loan,CONTRACT,"Indian Contract Act, 1872, Reserve Bank of India Guidelines"
I want to include confidentiality clause,CONTRACT,"Indian Contract Act, 1872, Information Technology Act, 2000"
My contract is for purchase of equipment,CONTRACT,"Sale of Goods Act, 1930, Indian Contract Act, 1872"
My contract is for IT services,CONTRACT,"Information Technology Act, 2000, Indian Contract Act, 1872"
My contract is for export,CONTRACT,"Foreign Trade (Development & Regulation) Act, 1992, Indian Contract Act, 1872"
I want to register a company,COMPANY,"Companies Act, 2013"
I want to set up a private limited company,COMPANY,"Companies Act, 2013"
My company name is being infringed,COMPANY,"Companies Act, 2013, Trade Marks Act, 1999"
I want to dissolve my company,COMPANY,"Companies Act, 2013"
I want to change company directors,COMPANY,"Companies Act, 2013"
My company is facing compliance issues,COMPANY,"Companies Act, 2013"
I want to convert partnership to company,COMPANY,"Companies Act, 2013, Partnership Act, 1932"
My company is facing GST issues,COMPANY,"Goods and Services Tax Act, 2017"
I want to file annual returns for company,COMPANY,"Companies Act, 2013"
My company is being struck off,COMPANY,"Companies Act, 2013"
I want to increase company share capital,COMPANY,"Companies Act, 2013"
My company is facing audit queries,COMPANY,"Companies Act, 2013, Income Tax Act, 1961"
I want to amend company memorandum,COMPANY,"Companies Act, 2013"
My company is facing ROC issues,COMPANY,"Companies Act, 2013"
I want to change company registered office,COMPANY,"Companies Act, 2013"
My company is facing labour disputes,COMPANY,"Industrial Disputes Act, 1947, Labour Laws"
I want to merge companies,COMPANY,"Companies Act, 2013"
My company is facing tax notice,COMPANY,"Income Tax Act, 1961"
I want to appoint company secretary,COMPANY,"Companies Act, 2013"
My company is facing shareholder dispute,COMPANY,"Companies Act, 2013, Indian Contract Act, 1872"
I want to issue company shares,COMPANY,"Companies Act, 2013"
My company is facing director disqualification,COMPANY,"Companies Act, 2013"
I want to create company ESOP,COMPANY,"Companies Act, 2013, SEBI ESOP Guidelines"
My company is facing winding up,COMPANY,"Companies Act, 2013"
I want to get company PAN,COMPANY,"Income Tax Act, 1961"
My company is involved in litigation,COMPANY,"Companies Act, 2013, Civil Procedure Code, 1908"
I want to change company objectives,COMPANY,"Companies Act, 2013"
My company is facing trademark issues,COMPANY,"Trade Marks Act, 1999"
I want to file company charges,COMPANY,"Companies Act, 2013"
My company is facing foreign investment issues,COMPANY,"FEMA, 1999"
I want to restructure my company,COMPANY,"Companies Act, 2013"
My company is facing FEMA issues,COMPANY,"FEMA, 1999"
I want to get company DIN,COMPANY,"Companies Act, 2013"
My company is facing PF/ESI issues,COMPANY,"Employees’ Provident Funds & Miscellaneous Provisions Act, 1952, ESI Act, 1948"
I want to get company TAN,COMPANY,"Income Tax Act, 1961"
My company is facing business license issues,COMPANY,"Shops and Establishment Act, State-specific Acts"
I want to create company LLP,COMPANY,"Limited Liability Partnership Act, 2008"
My company is facing insolvency,COMPANY,"Insolvency and Bankruptcy Code, 2016"
I want to get company GST registration,COMPANY,"Goods and Services Tax Act, 2017"
My company is facing board meeting issues,COMPANY,"Companies Act, 2013"
I want to appoint company auditor,COMPANY,"Companies Act, 2013"
My company is facing SEBI issues,COMPANY,"SEBI Act, 1992"
I want to change company shareholding pattern,COMPANY,"Companies Act, 2013"
My company is facing dividend issues,COMPANY,"Companies Act, 2013"
I want to get company registration certificate,COMPANY,"Companies Act, 2013"
My company is facing environmental compliance issues,COMPANY,"Environment Protection Act, 1986"
I want to file company compliance documents,COMPANY,"Companies Act, 2013"
My company is facing export/import issues,COMPANY,"Foreign Trade (Development & Regulation) Act, 1992"
I want to close company branch,COMPANY,"Companies Act, 2013"
My company is facing partnership disputes,COMPANY,"Partnership Act, 1932, Companies Act, 2013"
My bank account is frozen,BANKING,"Banking Regulation Act, 1949, Negotiable Instruments Act, 1881"
I want to close my bank account,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is charging extra fees,BANKING,"Banking Regulation Act, 1949, Consumer Protection Act, 2019"
I want to open a joint bank account,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank cheque is dishonoured,BANKING,"Negotiable Instruments Act, 1881"
I want to dispute a bank transaction,BANKING,"Banking Regulation Act, 1949, Consumer Protection Act, 2019"
My bank loan is rejected,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to apply for a credit card,BANKING,"Banking Regulation Act, 1949, Credit Card Regulations RBI"
My bank is not updating KYC,BANKING,"Prevention of Money Laundering Act, 2002"
I want to report bank fraud,BANKING,"Indian Penal Code, 1860, Banking Regulation Act, 1949"
My bank is not releasing funds,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to change bank nominee,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not crediting salary,BANKING,"Payment of Wages Act, 1936, Banking Regulation Act, 1949"
I want to update bank address,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank account is hacked,BANKING,"Information Technology Act, 2000, Banking Regulation Act, 1949"
I want to get bank statement,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not processing loan,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to transfer funds internationally,BANKING,"Foreign Exchange Management Act, 1999"
My bank ATM card is lost,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to increase ATM withdrawal limit,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not reversing charges,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to get bank NOC,BANKING,"Banking Regulation Act, 1949"
My bank account is dormant,BANKING,"Banking Regulation Act, 1949"
I want to activate internet banking,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not clearing payment,BANKING,"Negotiable Instruments Act, 1881, Banking Regulation Act, 1949"
I want to get bank loan waiver,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not updating account details,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to convert savings to current account,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not providing interest,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to claim insurance from bank,BANKING,"Insurance Act, 1938, Banking Regulation Act, 1949"
My bank is not accepting deposit,BANKING,"Banking Regulation Act, 1949"
I want to change bank branch,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not issuing cheque book,BANKING,"Negotiable Instruments Act, 1881, Banking Regulation Act, 1949"
I want to cancel standing instruction,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not refunding failed transaction,BANKING,"Banking Regulation Act, 1949, Consumer Protection Act, 2019"
I want to block my debit card,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not providing loan statement,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to get overdraft facility,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not updating PAN details,BANKING,"Income Tax Act, 1961, Banking Regulation Act, 1949"
I want to get bank guarantee,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not settling dispute,BANKING,"Banking Regulation Act, 1949, Consumer Protection Act, 2019"
I want to update phone number in bank,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not providing account closure,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to get bank locker,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not crediting refund,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to get interest certificate from bank,BANKING,"Income Tax Act, 1961, Banking Regulation Act, 1949"
My bank is not updating nominee details,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
I want to get duplicate passbook,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not processing ECS mandate,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
My bank is not updating address,BANKING,"Banking Regulation Act, 1949, RBI Guidelines"
